service,listing_index,listing_id,listing_name,listing_address,listing_city_slug,listing_area_slug,listing_business_slug,platform_name,platform_address,platform_city,url,score,name_score,slug_score,address_score,exact_slug_match,second_best_score,gap_to_second,auto_updated,reason
firsttable,1123,4ba54bcd-d38d-404a-9bf1-ce2ef446ec10,Allsorts,198A Cheltenham Road,bristol,montpelier,allsorts,Palomar,Gloucester Road,bristol,https://www.firsttable.co.uk/bristol/gloucester-road/palomar,64.71,53.33,53.33,51.43,False,,999.0,False,needs review
firsttable,1646,6d5b0470-f000-4299-afb5-3dadd55b0941,Domino's,"8 West Town Lane, Bristol, BS4 5BN",bristol,brislington,dominos,Muiño,Cotham Hill,bristol,https://www.firsttable.co.uk/bristol/cotham-hill/muino,64.71,61.54,50.0,18.6,False,63.87,0.84,False,needs review
firsttable,2343,9a46d99e-57e2-4ca0-a729-56d586ab585a,One B Coffee House,"13a Gloucester Road, Bristol, BS7 8AA",bristol,montpelier,one-b-coffee-house,The Coconut Tree,Gloucester Road,bristol,https://www.firsttable.co.uk/bristol/gloucester-road/the-coconut-tree-gloucester-road,64.71,41.18,35.29,100.0,False,63.92,0.79,False,needs review
firsttable,3529,ea968c9b-f99f-4969-81e0-0e884c8e1b91,One B Coffee House,"1B Pitville Place, Bristol, BS6 6JZ",bristol,cotham,one-b-coffee-house,The Old House at Home,Chippenham,bristol,https://www.firsttable.co.uk/bristol/chippenham/the-old-house-at-home,64.71,61.54,35.9,18.6,False,,999.0,False,needs review
firsttable,3338,df0aeba0-c010-425a-b421-8e5990dcac8f,Old Castle Green,"46 Gloucester Lane, Bristol, BS2 0DP",bristol,easton,old-castle-green,Mangosteen,Gloucester Road,bristol,https://www.firsttable.co.uk/bristol/gloucester-road/mangosteen-gloucester-road,64.69,46.15,46.15,80.0,False,63.25,1.44,False,needs review
firsttable,306,13c7d523-e25a-42f7-8215-e97b2cff168b,Blue Sky Pizza and Kebab,"288 Church Road, Bristol, BS5 8AH",bristol,saint-george,blue-sky-pizza-and-kebab,GiGi's Pizza,Old Market,bristol,https://www.firsttable.co.uk/bristol/old-market/gigis-pizza,64.68,58.82,33.33,29.27,False,,999.0,False,needs review
firsttable,3668,f571f73a-82d3-49f9-8474-8aec7ccfeaa4,Pizza Corner,"143 Church Road, Bristol, BS5 9LA",bristol,redfield,pizza-corner,GiGi's Pizza,Old Market,bristol,https://www.firsttable.co.uk/bristol/old-market/gigis-pizza,64.68,58.82,41.67,29.27,False,64.29,0.39,False,needs review
firsttable,3130,d15b695b-6d4d-40db-be98-1244ef779926,Perfect Pizza,"952 Bristol Rd S, Birmingham B31 2PE, UK",bristol,broadmead,perfect-pizza,GiGi's Pizza,Old Market,bristol,https://www.firsttable.co.uk/bristol/old-market/gigis-pizza,64.67,58.82,40.0,29.17,False,,999.0,False,needs review
firsttable,3431,e51dbfe8-3025-4069-8d6a-abb89da8a652,The Cube,"4 Princess Row, Bristol, BS2 8NQ",bristol,kingsdown,the-cube,The Coconut Tree,Gloucester Road,bristol,https://www.firsttable.co.uk/bristol/gloucester-road/the-coconut-tree-gloucester-road,64.67,58.33,33.33,31.11,False,62.39,2.28,False,needs review
firsttable,386,194eafbb-826a-420a-930d-bc14e5b8b18a,Fish Port,"431 Stapleton Road, Bristol, BS5 6NA",bristol,easton,fish-port,Froth & Fries,Central,bristol,https://www.firsttable.co.uk/bristol/central/froth-and-fries,64.66,60.0,45.45,24.39,False,,999.0,False,needs review
firsttable,984,42de2ae2-5ac0-485f-8d1b-9eb117c0a111,Baba Ganoush,"388 Stapleton Road, Bristol, BS5 6NQ",bristol,easton,baba-ganoush,Bambalan,Central,bristol,https://www.firsttable.co.uk/bristol/central/bambalan,64.66,60.0,60.0,24.39,False,,999.0,False,needs review
firsttable,3351,dfb7cbb7-50c7-4b59-88fc-8585dede98cf,Corks of North Street,"79 North Street, Bristol, BS3 1ES",bristol,southville,corks-of-north-street,Mangosteen North St,Southville,bristol,https://www.firsttable.co.uk/bristol/southville/mangosteen-north-st,64.66,60.0,45.0,24.39,False,62.44,2.22,False,needs review
firsttable,524,2436170c-36a5-4bed-a633-73859a4e4c54,Hen & Boar,"101 Henleaze Road, Bristol, BS9 4JP",bristol,henleaze,hen-boar,Dosa Queen,Gloucester Road,bristol,https://www.firsttable.co.uk/bristol/gloucester-road/dosa-queen,64.65,55.56,22.22,42.11,False,62.08,2.57,False,needs review
firsttable,550,25e100c4-7567-430d-af5d-8e0b457994ba,Spicy Aroma,"60 Stockwood Road, Bristol, BS14 8PL",bristol,stockwood,spicy-aroma,Palomar,Gloucester Road,bristol,https://www.firsttable.co.uk/bristol/gloucester-road/palomar,64.65,44.44,55.56,42.11,False,,999.0,False,needs review
firsttable,693,2f988a96-6e95-425a-b7c2-73095698fe4a,Reg's,"163 Greystoke Avenue, Bristol, BS10 6AS",bristol,southmead,regs,Renato's,Central,bristol,https://www.firsttable.co.uk/bristol/central/renatos,64.65,61.54,50.0,18.18,False,,999.0,False,needs review
firsttable,1864,7b15f713-e720-47c1-bfd1-23a0c743833a,The Green Man,"21-23 Alfred Place, Bristol, BS2 8HD",bristol,kingsdown,the-green-man,The Bear & Swan,Chew Magna,bristol,https://www.firsttable.co.uk/bristol/chew-magna/the-bear-and-swan,64.65,61.54,28.57,18.18,False,63.5,1.15,False,needs review
firsttable,2496,a4229bf0-2c7a-4d01-b867-ad52a7b30e40,Chai Thai,"26 Park Street, Bristol, BS1 5JA, GB",bristol,city-centre,chai-thai,Thai Express Kitchen,City Centre,bristol,https://www.firsttable.co.uk/bristol/city-centre/thai-express-kitchen,64.65,61.54,41.38,18.18,False,,999.0,False,needs review
firsttable,3330,de8efab8-5253-4214-8848-eee051446ab6,Document,"30-64 Pennywell Road, Bristol, BS5 0TG",bristol,easton,document,Dosa Queen,Gloucester Road,bristol,https://www.firsttable.co.uk/bristol/gloucester-road/dosa-queen,64.65,55.56,55.56,42.11,False,,999.0,False,needs review
firsttable,810,36d0f73f-efe7-49d7-972f-adc1e0e94661,Green House,"37 College Green, Bristol, BS1 5SP",bristol,city-centre,green-house,The Old House at Home,Chippenham,bristol,https://www.firsttable.co.uk/bristol/chippenham/the-old-house-at-home,64.64,62.5,37.5,14.29,False,,999.0,False,needs review
