service,listing_index,listing_id,listing_name,listing_address,listing_city_slug,listing_area_slug,listing_business_slug,delivery_name,delivery_address,delivery_city,delivery_area,url,score,name_score,slug_score,address_score,postcode_match,exact_slug_match,second_best_score,gap_to_second,auto_updated,reason,area_match
uber_eats,179,0ac9d89d-0011-440d-8441-ca73c3367b1a,JMI Bathroom & Kitchen Centre,"52 Bristol Hill, Brislington, Bristol BS4 5AB, UK",bristol,brislington,jmi-bathroom-kitchen-centre,shanghai-garden,"50 Bristol Hill, EMEA BS4 5AB",,,https://www.ubereats.com/gb/store/shanghai-garden/Fj64vGmaTHatpidrqWrgJw,70.83,33.33,28.57,83.33,True,False,,999.0,False,needs review,
uber_eats,2224,921da91e-28e0-4c1f-bcb6-ef0d58eff6b0,Oxygen Room,"49a Whiteladies Road, Bristol, BS8 2LS, GB",bristol,bristol-city-centre,oxygen-room,brace-%26-browns,"43 Whiteladies Road, Bristol, EMEA BS8 2LS",,,https://www.ubereats.com/gb/store/brace-%26-browns/Hptg-K9LWQ-UeUylKOYomw,70.83,30.77,29.63,90.14,True,False,,999.0,False,needs review,
uber_eats,2395,9d44788d-0662-4898-88b6-109047deb9cf,10+One Store,"107 Whiteladies Road, Bristol, BS8 2PB",bristol,clifton,10one-store,chopsticks-%E7%AD%B7%E5%AD%90,"99 Whiteladies Rd, Bristol, EMEA BS8 2PB",,,https://www.ubereats.com/gb/store/chopsticks-%E7%AD%B7%E5%AD%90/3qdcVGAGQuOo6WjkCsfgoA,70.83,32.43,20.0,85.71,True,False,70.55,0.28,False,needs review,
uber_eats,2414,9e274c33-c8a4-4160-8e7b-6b83f1483791,Aboe,"109 Whiteladies Road, Bristol, BS8 2PB, GB",bristol,clifton,aboe,pizzarova,"113 Whiteladies Road, Bristol, EMEA BS8 2PB",,,https://www.ubereats.com/gb/store/pizzarova/85V81zm0V5-RmlcSMWef0w,70.83,30.77,30.77,90.14,True,False,68.89,1.94,False,needs review,
uber_eats,258,10758064-c5c2-4dce-b46f-452fcf32767a,Muse,"37-41 Prince Street, Bristol, BS1 4PS",bristol,city-centre,muse,muse-coffee-company-portswood-road,"14 The Broadway Portswood Road, Southampton, EMEA SO17 2WE",,,https://www.ubereats.com/gb/store/muse-coffee-company-portswood-road/VWJFyH81Uyi3KEWn8lsYsQ,70.82,100.0,21.05,35.16,False,False,69.59,1.23,False,needs review,
uber_eats,2250,938b8614-183c-4831-830d-ddb92bf2fb89,Coffee Cup,"367 Two Mile Hill Road, Bristol, BS15 1AF",bristol,saint-george,coffee-cup,costa-coffee-tesco-bristol-2,"Lime Trees Road, Bristol, BS6 7XW",,,https://www.ubereats.com/gb/store/costa-coffee-tesco-bristol-2/HmCHOxp9VbCC0DRZ_M2u2A,70.82,75.0,42.11,65.71,False,False,70.82,0.0,False,needs review,
uber_eats,3270,da6ef200-314f-42ca-981f-965ed70bd7a7,Rendezvous,"9 Denmark Street, Bristol, BS1 5DQ",bristol,city-centre,rendezvous,new-rendezvous,"3-5 Bell Villas, Ponteland, Newcastle Upon Tyne, EMEA NE20 9BD",,,https://www.ubereats.com/gb/store/new-rendezvous/GpFj_BtjUp6hOJokxDRFVg,70.82,100.0,83.33,35.16,False,False,,999.0,False,needs review,
uber_eats,533,249d9638-d57b-4a92-bef2-08af1a8b49c9,Queens Head,"286 Fishponds Road, Bristol, BS5 6PY",bristol,eastville,queens-head,olde-queens-head-oqh,"Birmingham Street, Halesowen, EMEA B63 3HN",,,https://www.ubereats.com/gb/store/olde-queens-head-oqh/2gx_a3drWuu0g5SPNxz0jg,70.81,100.0,70.97,35.14,False,False,67.03,3.78,False,needs review,
uber_eats,753,33395700-2217-4c85-9d34-c45f94ab154e,Forest Larder,"James Street, BS5 0TL",bristol,st-pauls,forest-larder,biriyani-bandits-bristol,"Box 1
James Street, Bristol, EMEA BS5 0TL",,,https://www.ubereats.com/gb/store/biriyani-bandits-bristol/bKgwwcW6Uli1df3Mu1pQeQ,70.81,21.62,27.03,100.0,True,False,,999.0,False,needs review,
uber_eats,846,398b7244-2706-4d43-b25b-91eb1d4a3549,The Range,"Bristol, BS13 7TJ",bristol,headley-park,the-range,burger-king-bristol-imperial,"Unit 12, Imperial Park, Wills Way, Bristol, BS13 7TJ",,,https://www.ubereats.com/gb/store/burger-king-bristol-imperial/VGRJZRoiVUCfgUFtbHrapg,70.81,27.03,27.03,100.0,True,False,70.81,0.0,False,needs review,
uber_eats,1074,48badf40-1295-4e6a-83c8-58746e8acf8b,Mackenzies Bar + Kitchen,"Canons Road, Bristol, BS1 5UH",bristol,city-centre,mackenzies-bar-kitchen,las-iguanas-bristol-harbourside,"Unit A, South Building, Anchor Square, Bristol, BS1 5UH",,,https://www.ubereats.com/gb/store/las-iguanas-bristol-harbourside/ibjokgyyVXifJt3VnN9nig,70.81,37.74,37.74,71.43,True,False,,999.0,False,needs review,
uber_eats,1150,4d4d7b54-4556-4963-85cf-1326efac117f,The Sundial Kitchen,"1 William Street, Bristol, BS3 4TU",bristol,totterdown,the-sundial-kitchen,the-italian-kitchen,"The Italian Kitchen, 47 High Street, Bristol, England bs15 3dq",,,https://www.ubereats.com/gb/store/the-italian-kitchen/vD9hZy3NRyalvAIEr-Qu0Q,70.81,78.95,78.95,60.87,False,False,69.6,1.21,False,needs review,
uber_eats,1388,5cc623df-d241-429c-bd7a-e41d4f1b0214,Ciao Burger,"207A Gloucester Road, Bristol, BS7 8NN",bristol,bishopston,ciao-burger,gorilla-thai-kitchen-gloucester-road,"213 Gloucester Road, Bristol, EMEA BS7 8NN",,,https://www.ubereats.com/gb/store/gorilla-thai-kitchen-gloucester-road/MTeiVjiaW2mGfXFXDphDKA,70.8,29.79,25.53,92.54,True,False,,999.0,False,needs review,
uber_eats,2466,a263dbc9-0c09-427a-90db-151d891e7b41,Bristol Rocks Cafe,"40 Winterstoke Road, Bristol, BS3 2NW",bristol,ashton-gate,bristol-rocks-cafe,iceland-food-warehouse-bristol-souths,"Unit B, S.Bristol Rtl.Pk., Winterstoke Road, BS3 2LQ",,,https://www.ubereats.com/gb/store/iceland-food-warehouse-bristol-souths/pRNf2dIJWJafCZ0dWJRJTQ,70.8,56.0,36.36,88.89,False,False,69.54,1.26,False,needs review,
uber_eats,3062,cc978695-399e-4328-8606-98529059ecb7,Fishponds Convenience Store,"259 Lodge Causeway, Bristol, BS16 3RA",bristol,fishponds,fishponds-convenience-store,anstees-bakery,"261 Lodge Causeway, Bristol, EMEA BS16 3RA",,,https://www.ubereats.com/gb/store/anstees-bakery/U2ulLri6WL60coVC3xhHgQ,70.8,29.27,29.27,93.94,True,False,,999.0,False,needs review,
uber_eats,3286,dbe2caa8-1665-409b-9d56-eecadafd84e3,Bull's Burger,"213 Cheltenham Road, Bristol, BS6 5QP",bristol,montpelier,bulls-burger,bull-burgers,"46 Holloway Head, Birmingham, England, Gb, B1 1ng",,,https://www.ubereats.com/gb/store/bull-burgers/E3JzUbOQU8CS32KzH46UsQ,70.8,96.0,91.67,40.0,False,False,66.79,4.01,False,needs review,
uber_eats,640,2c3b86ef-1464-4f17-bbb0-a3f38ada2627,Landtiles,"15 Cannon Street, Bristol, BS3 1BH",bristol,southville,landtiles,leb%2Bnom-bedminster,"7 Canon Street, Bedminster, Bs3 1bh",,,https://www.ubereats.com/gb/store/leb%2Bnom-bedminster/2G38L0o7VdWDB_v1hkJ1Nw,70.79,34.48,34.48,80.0,True,False,,999.0,False,needs review,
uber_eats,1502,6473f7fc-52ee-4595-8216-2f62ac85284b,Victory Martial Arts,"46 High Street, Bristol, BS11 0DJ",bristol,shirehampton,victory-martial-arts,super-kebab-and-pizza,"48 High St, Shirehampton,, Bristol, BS11 0DJ",,,https://www.ubereats.com/gb/store/super-kebab-and-pizza/KFiQ5xXIWuO3o806ixBLzQ,70.77,34.15,29.27,80.77,True,False,70.67,0.1,False,needs review,
uber_eats,3373,e1366570-6e81-42d5-9436-c54a20cf7c54,Sorrento Pizza,"4 Triangle South, Bristol, BS8 1EY, GB",bristol,clifton,sorrento-pizza,triangle-grill,"3-4 Triangle South, Bristol, EMEA BS8 1EY",,,https://www.ubereats.com/gb/store/triangle-grill/4BQVAkKgV0ifSgtqDpfLOA,70.76,28.57,28.57,95.52,True,False,,999.0,False,needs review,
uber_eats,1362,5b0bf4a8-5707-4803-9ee8-764c8938bd3f,Coffee#1,"4 Canford Lane, Bristol, BS9 3DH",bristol,westbury-on-trym,coffee1,costa-coffee-tesco-bristol-2,"Lime Trees Road, Bristol, BS6 7XW",,,https://www.ubereats.com/gb/store/costa-coffee-tesco-bristol-2/HmCHOxp9VbCC0DRZ_M2u2A,70.75,85.71,34.29,52.46,False,False,70.75,0.0,False,needs review,
uber_eats,834,38932c95-36fb-4235-8cf6-0a70bfc0aef2,Wongs Chinese Restaurant,"12 Denmark Street, Bristol, BS1 5DQ",bristol,city-centre,wongs-chinese-restaurant,goongnoi-thai-restaurant,"54 High Street, Bristol, EMEA BS9 3DZ",,,https://www.ubereats.com/gb/store/goongnoi-thai-restaurant/NziAgCXDU7Okq92qL1-XOw,70.72,58.82,70.83,70.59,False,False,70.57,0.15,False,needs review,
uber_eats,3436,e56b2a19-147d-4d97-adf6-0dd328c70db5,Lifestyle Express,"296 Wick Road, Bristol",bristol,st-annes,lifestyle-express,sra-news-lifestyle-express,"146 Beacon Road, Birmingham, England B43 7BN",,,https://www.ubereats.com/gb/store/sra-news-lifestyle-express/DxE0a3sdSOiWM3S1WJi2MQ,70.71,100.0,79.07,34.92,False,False,64.81,5.9,False,needs review,
